Street,Intersection,fatal,EMSTransport,Posted Speed,Weather Code,pedestrian,bicycle,drug,etoh,Latitude,Longitude,Light Condition,year,month,day,hour,day_of_week
101 N Howell Ave,Club Dr,0,1,25.0,0,1,0,0.0,0.0,35.013273,-85.224251,1,2022,3,9,18,2
5609 Brainerd Rd,Eastgate Loop,0,0,40.0,0,1,0,0.0,0.0,35.010978,-85.217565,4,2022,3,15,7,1
397 Mcbrien Rd,S Terrace,0,1,30.0,4,1,0,0.0,0.0,35.004589,-85.22746,0,2022,3,15,20,1
975 E 3rd St,Central Ave,0,0,,0,1,0,,,35.048368,-85.290591,4,2022,3,14,9,0
231 E Martin Luther King Blvd,231 E Martin Luther King Blvd,0,0,15.0,0,1,0,0.0,0.0,35.045074,-85.305802,4,2022,3,18,16,4
5812 Browntown Rd,Courtney Ln,0,1,40.0,0,1,0,0.0,0.0,35.162694,-85.274201,4,2022,3,19,16,5
250 W 38th St,Kirkland Ave,0,1,30.0,0,1,0,0.0,0.0,35.006293,-85.3128,0,2022,3,19,20,5
100 W Martin Luther King Blvd,Broad St,1,1,25.0,0,1,0,0.0,0.0,35.045743,-85.31002,4,2022,3,24,8,3
5500 - 5699 Lake Resort Dr,Lake Resort Ter,0,1,45.0,0,1,0,,,35.10987,-85.228423,1,2022,3,25,22,4
Brainerd Rd,N Germantown Rd,0,1,40.0,0,1,0,0.0,0.0,35.024821,-85.245567,0,2022,3,28,20,0
2200 Wilcox Blvd,Dodson Ave,0,0,35.0,0,1,0,0.0,0.0,35.052873,-85.260679,3,2022,3,29,7,1
8001 Volkswagen Dr,Bonny oaks dr,0,1,25.0,0,1,0,0.0,0.0,35.07286,-85.1338,0,2022,3,31,21,3
Tyner Rd,Lee Hwy,0,0,30.0,0,1,0,0.0,0.0,35.056781,-85.140779,4,2022,4,4,8,0
Bonnyshire Dr,Bonny Oaks Dr,0,1,15.0,4,1,0,0.0,0.0,35.069012,-85.165417,4,2022,4,5,11,1
Tremont St,Frazier Ave,0,0,25.0,0,1,0,0.0,0.0,35.061791,-85.304515,4,2022,4,7,13,3
1601 Market St,Main st,0,1,30.0,0,1,0,0.0,0.0,35.036004,-85.307644,4,2022,4,7,17,3
W 38th St,Highland Ave,0,1,25.0,0,1,0,0.0,1.0,35.006743,-85.313989,4,2022,4,12,16,1
Mccallie Ave,Douglas St,0,1,25.0,0,1,0,0.0,0.0,35.04562,-85.30119,4,2022,4,13,18,2
900 Carter St,E Martin Luther King Blvd,0,1,30.0,0,1,0,0.0,0.0,35.045668,-85.311653,4,2022,4,25,17,0
900 Manufacturers Rd,Hamm Rd,0,1,,0,1,0,1.0,0.0,35.05884,-85.327645,4,2022,4,27,10,2
Rossville Blvd,E 32nd St,0,1,40.0,0,1,0,0.0,0.0,35.007069,-85.293833,4,2022,4,27,12,2
Market St,W 14th St,0,1,20.0,0,1,0,0.0,0.0,35.038499,-85.307481,5,2022,4,27,18,2
500 River St,River St,0,1,25.0,0,1,0,,,35.060029,-85.304211,0,2022,4,30,4,5
153 Hwy,Northpoint Blvd,0,1,45.0,0,1,0,0.0,0.0,35.138164,-85.24936,4,2022,5,4,16,2
1200 Grove St,Grove Street Ct,0,0,15.0,0,1,0,0.0,0.0,35.043761,-85.317968,4,2022,5,5,12,3
Shallowford Rd,Chapman Rd,0,0,,0,1,0,0.0,0.0,35.054355,-85.188205,0,2022,5,5,23,3
2400 Dodson Ave,Daisy St,0,1,30.0,0,1,0,0.0,0.0,35.0816226,-85.263,4,2022,5,10,18,1
Mccallie Ave,Glenwood Dr,0,1,35.0,4,1,0,0.0,1.0,35.031395,-85.261209,0,2022,5,15,2,6
979 E 3rd St,Central Ave,0,1,,0,1,0,0.0,0.0,35.047957,-85.289321,4,2022,5,17,10,1
100 W.38th Street,Central Avenue,0,0,15.0,0,1,0,0.0,0.0,35.0552964,-85.307205,4,2022,5,17,12,1
825 Runyan Dr,Runyan Dr,0,0,15.0,0,1,0,0.0,0.0,35.101694,-85.32129,4,2022,5,17,18,1
Market St,E 10th St,0,1,35.0,0,1,0,0.0,0.0,35.044862,-85.309402,4,2022,5,19,7,3
Sheridan Ave,Portland St,0,0,25.0,0,1,0,0.0,0.0,35.050756,-85.269296,5,2022,5,21,20,5
2360-2399 Westside Dr,15th Ave,0,0,35.0,4,1,0,0.0,0.0,35.012549,-85.272335,0,2022,5,22,23,6
12th Ave/ E 31st St,E 30th St,0,1,25.0,0,1,0,0.0,0.0,35.0434061,-85.306981,4,2022,5,24,17,1
2125 Mccallie Ave,N Willow St,1,1,35.0,0,1,0,0.0,1.0,35.0344504,-85.270852,0,2022,6,5,2,6
1401 N Chamberlain Ave,Balto St,0,1,30.0,0,1,0,0.0,0.0,35.05054,-85.25712,4,2022,6,20,19,0
7200 Shallowford Rd,I 75 NB off ramp,0,1,45.0,0,1,0,0.0,0.0,35.04156,-85.154814,3,2022,6,27,6,0
1420 Dodson Ave,Wilcox Blvd,0,1,35.0,0,1,0,0.0,0.0,35.05297,-85.260301,4,2022,6,28,14,1
De Sales Ave,Glenwood Dr,0,1,15.0,0,1,0,0.0,0.0,35.041707,-85.260666,4,2022,6,29,7,2
3714 Rossville Blvd,Clio Ave,0,0,,0,1,0,0.0,0.0,35.000459,-85.291711,4,2022,7,1,18,4
Falmouth Rd,Lexington St,0,0,15.0,0,1,0,0.0,0.0,35.071073,-85.287125,4,2022,7,5,15,1
Browns Ferry Rd,234 Browns Ferry Rd,0,0,35.0,0,1,0,0.0,0.0,35.028671,-85.362494,4,2022,7,5,16,1
Rossville Blvd,E 40th St,0,1,40.0,0,1,0,0.0,0.0,34.9976519,-85.291118,6,2022,7,8,0,4
Market St,E 4th St,0,0,30.0,0,1,0,0.0,0.0,35.052314,-85.309633,0,2022,7,9,21,5
700 River Terminal Rd,Amnicola Hwy,0,0,15.0,0,1,0,0.0,0.0,35.070607,-85.271318,0,2022,8,4,21,3
1000 Interstate 75 St,900 Interstate 75,0,1,65.0,0,1,0,1.0,1.0,35.078288,-85.095544,0,2022,8,5,3,4
301 Market St,E 3rd Street,0,1,30.0,0,1,0,0.0,0.0,35.05332,-85.309891,4,2022,8,5,10,4
5764 Highway 153,Grubb Rd,0,0,15.0,0,1,0,0.0,0.0,35.152975,-85.24562,4,2022,8,12,15,4
7300 Lee Hwy,Courage Way,0,1,45.0,0,1,0,0.0,1.0,35.052856,-85.148707,1,2022,8,14,22,6
Market St,W 3rd st,0,0,30.0,0,1,0,0.0,0.0,35.05332,-85.309891,4,2022,8,18,9,3
3916 Rossville Blvd,E 40th St,0,1,35.0,0,1,0,0.0,0.0,34.998012,-85.291088,4,2022,8,24,9,2
Houston St,Mccallie Ave,0,0,35.0,0,1,0,,,35.046916,-85.304166,0,2022,8,25,20,3
6900 Shallowford Rd,Lee Hwy,0,0,45.0,0,1,0,0.0,0.0,35.044885,-85.162464,4,2022,8,26,18,4
6th Ave,E 34th St,0,0,25.0,0,1,0,0.0,0.0,35.0456459,-85.301529,4,2022,8,27,10,5
400 Palmetto Street,4th Street,0,0,15.0,0,1,0,0.0,0.0,35.049294,-85.299739,4,2022,8,30,17,1
1899 Riverfront Pkwy,W Main St,0,0,35.0,0,1,0,0.0,0.0,35.037793,-85.320923,4,2022,9,2,16,4
509 E Main St,Adams St,0,1,15.0,0,1,0,0.0,0.0,35.033765,-85.301101,4,2022,9,6,14,1
901 Shallowford Rd,Gillespie Rd,0,0,40.0,0,1,0,0.0,0.0,35.038014,-85.238957,4,2022,9,9,16,4
700 Interstate 75 Southbound,Bonny Oaks,0,1,55.0,0,1,0,,,35.0602946,-85.130719,1,2022,9,16,0,4
W Martin Luther King Blvd,Carter St,0,1,30.0,0,1,0,0.0,0.0,35.045297,-85.312411,0,2022,9,16,23,4
,Market St,1,0,55.0,0,1,0,0.0,1.0,35.025429,-85.302258,1,2022,9,24,0,5
5901 Shallowford Road,Jersey Pike,1,0,35.0,0,1,0,,,35.0236827,-85.158285,6,2022,9,24,0,5
Market St,W 3rd St,0,0,30.0,0,1,0,0.0,0.0,35.053512,-85.309667,4,2022,9,30,17,4
Dodds Ave,E 41st St,0,1,40.0,0,1,0,0.0,1.0,34.9951965,-85.284396,4,2022,10,3,17,0
3569 Brainerd Road,S Germantown Road,0,0,40.0,0,1,0,0.0,0.0,35.024158,-85.246468,0,2022,10,9,20,6
600-799 N Holtzclaw Ave,Cleveland Ave,0,1,45.0,0,1,0,0.0,0.0,35.04654,-85.278419,4,2022,10,12,12,2
5440 Highway 153,Northpoint Blvd,1,0,45.0,0,1,0,,,35.138778,-85.247194,0,2022,10,24,2,0
2337 Mccallie Ave,Lyerly,0,1,30.0,0,1,0,,,35.034586,-85.267198,4,2022,10,24,7,0
801 Oak St,Oak St,0,1,25.0,0,1,0,0.0,0.0,35.044657,-85.295307,0,2022,10,25,20,1
24 Station St,Non intersection,0,0,15.0,0,1,0,,,35.03661,-85.306148,4,2022,10,29,10,5
1 - 13 Frazier Ave,N Market St,0,1,30.0,0,1,0,0.0,0.0,35.062644,-85.308526,0,2022,11,1,19,1
100 Tremont St,Frazier Ave,0,0,25.0,1,1,0,0.0,0.0,35.061791,-85.304515,4,2022,11,7,11,0
Rossville Blvd,E 50th St,0,1,55.0,0,1,0,0.0,0.0,34.9856233,-85.287237,4,2022,11,8,13,1
1030 E 11th St,Central Ave,0,1,30.0,4,1,0,0.0,0.0,35.037635,-85.293588,0,2022,11,15,5,1
4800 Rossville Blvd,E 48th St,0,0,30.0,0,1,0,0.0,0.0,34.9890995,-85.289099,0,2022,11,15,20,1
3709 Cummings Hwy,Birmingham Hwy,0,1,40.0,0,1,0,0.0,0.0,35.018407,-85.379611,0,2022,11,17,3,3
2300 4th Ave,Interstate 24,0,1,35.0,0,1,0,0.0,0.0,35.017689,-85.280427,4,2022,11,18,14,4
2008 Gunbarrel Rd,Lifestyle Way,0,1,35.0,0,1,0,0.0,1.0,35.040787,-85.151908,0,2022,11,21,19,0
S Holtzclaw Ave,E Main St,0,1,35.0,0,1,0,0.0,0.0,35.028961,-85.288147,1,2022,11,24,17,3
3800 Rossville Blvd,E 37th St,0,0,40.0,4,1,0,0.0,0.0,35.000005,-85.291416,0,2022,12,3,5,5
5529 Brainerd Rd,Spring Creek Rd,0,0,15.0,4,1,0,0.0,0.0,35.010735,-85.218195,4,2022,12,3,11,5
2000 S Kelley St,E 23rd Street,0,0,20.0,0,1,0,0.0,0.0,35.019573,-85.278848,0,2022,12,3,18,5
3800 Tennessee Ave,W 37th St,0,1,15.0,4,1,0,0.0,0.0,35.009944,-85.326184,4,2022,12,4,16,6
540 McCallie Ave,Mccallie Ave,0,0,35.0,4,1,0,0.0,0.0,35.0403373,-85.300511,0,2022,12,5,17,0
Broad St,W 4th St,0,1,30.0,4,1,0,0.0,0.0,35.052295,-85.310664,5,2022,12,6,18,1
5730 Brainerd Rd,Debra Rd,0,0,15.0,4,1,0,0.0,0.0,35.011425,-85.213038,0,2022,12,7,18,2
3222 Cummings Highway,S Tulip Avenue,0,0,45.0,4,1,0,0.0,0.0,35.019037,-85.371242,0,2022,12,8,18,3
800 Chestnut St,8th St,0,0,25.0,2,1,0,0.0,0.0,35.047055,-85.311612,0,2022,12,10,0,5
555 Signal Mountain Rd,Signal Mountain Rd,0,1,35.0,0,1,0,0.0,0.0,35.094817,-85.329364,0,2022,12,12,5,0
1800 Farris Rd,Crane Rd,0,0,25.0,0,1,0,0.0,0.0,35.024373,-85.161175,0,2022,12,15,18,3
E 3rd St,Palmetto,0,1,35.0,0,1,0,,,35.0815569,-85.262451,0,2022,12,16,22,4
1001 Broad St,10th St,0,0,30.0,0,1,0,0.0,0.0,35.04436,-85.310763,4,2022,12,22,12,3
2288 Gunbarrel Rd,Gunbarrel Rd,0,0,25.0,0,1,0,0.0,0.0,35.037485,-85.149705,0,2022,12,23,18,4
5928 Hixson Pike,Cassandra Smith Road,0,1,,0,1,0,0.0,0.0,35.147481,-85.20734,4,2022,12,24,12,5
2000 E 23rd St,S Kelly St,0,1,45.0,4,1,0,0.0,1.0,35.018022,-85.280782,0,2023,1,3,19,1
Birmingham Highway,Cummings Road,0,1,45.0,0,1,0,0.0,0.0,35.008334,-85.390573,1,2023,1,4,20,2
670-699 Georgia Ave,Oak St,0,1,30.0,0,1,0,0.0,0.0,35.00457,-85.227469,4,2023,1,9,12,0
2607 Glass St,N Chamberlain Ave,0,1,35.0,0,1,0,0.0,0.0,35.066172,-85.247498,4,2023,1,17,15,1
600 E 10th St,Peeples St,0,1,25.0,4,1,0,0.0,0.0,35.041635,-85.300752,1,2023,1,19,6,3
E 11th St,Market St,0,0,25.0,0,1,0,0.0,0.0,35.0428324,-85.318653,0,2023,1,25,18,2
South Holtzclaw Ave,East Main,0,1,40.0,4,1,0,0.0,0.0,35.029289,-85.288517,5,2023,1,26,5,3
E 3rd St,Glenwood Dr,0,1,40.0,4,1,0,0.0,0.0,35.036828,-85.261088,5,2023,2,2,7,3
1900 Market St,E 20th St,0,1,30.0,0,1,0,0.0,1.0,35.0805729,-85.262169,0,2023,2,3,1,4
1400 Greenwood Rd,Wilcox Blvd,0,1,35.0,0,1,0,0.0,0.0,35.050951,-85.242943,4,2023,2,3,15,4
5723 Hixson Pike,Middle Valley Rd,0,0,15.0,0,1,0,0.0,0.0,35.15194,-85.21814,1,2023,2,4,18,5
1818 Chestnut St,20th Street,0,0,15.0,0,1,0,0.0,1.0,35.03538,-85.31456,0,2023,2,6,0,0
625 Georgia Ave,Lookout St.,0,0,35.0,4,1,0,0.0,0.0,35.049294,-85.306908,0,2023,2,15,19,2
1500 E 23rd St,Watauga St.,0,1,40.0,0,1,0,0.0,0.0,35.0213,-85.289044,4,2023,2,21,13,1
5311 Highway 153,Hixson Pike,0,1,45.0,4,1,0,0.0,1.0,35.128246,-85.243412,0,2023,3,3,6,4
3100 Brainerd Rd,S Seminole Dr,0,1,35.0,0,1,0,0.0,0.0,35.027705,-85.255515,0,2023,3,3,19,4
Riverside Dr,Wilcox Blvd,0,1,50.0,5,1,0,0.0,1.0,35.058124,-85.279715,0,2023,3,3,19,4
2700 E 34th St,Dodds Ave,0,0,15.0,0,1,0,0.0,0.0,35.001316,-85.282145,4,2023,3,6,9,0
Market St,E 20th St,0,1,40.0,0,1,0,0.0,0.0,35.031474,-85.308821,4,2023,3,6,16,0
,Carter St,1,0,55.0,4,1,0,0.0,1.0,35.0328476,-85.318962,0,2023,3,12,3,6
Glenwood Pkwy,Glenwood Dr,0,0,15.0,0,1,0,0.0,0.0,35.03345,-85.261491,4,2023,3,15,20,2
301 Cherokee Blvd,Manufacturers Rd,0,1,35.0,0,1,0,0.0,0.0,35.064434,-85.311825,4,2023,3,21,16,1
24 WB interstate,Cummings Hwy,1,0,55.0,0,1,0,1.0,1.0,35.024104,-85.378093,1,2023,3,24,4,4
1099 Graysville Rd,E Brainerd Rd,0,1,45.0,0,1,0,0.0,0.0,35.003473,-85.149326,0,2023,3,24,20,4
1900 Jenkins Rd,East Brainerd Rd,0,0,45.0,0,1,0,0.0,0.0,35.020936,-85.141252,4,2023,3,27,10,0
7420 Bonny Oaks Dr,Lee Hwy,1,0,45.0,0,1,0,0.0,0.0,35.060924,-85.136539,0,2023,3,29,21,2
300 Frazier Ave,Tremont St,0,0,30.0,0,1,0,0.0,0.0,35.0813533,-85.262324,4,2023,4,4,18,1
1954 Jenkins Rd,Goodwin Rd.,0,0,35.0,0,1,0,0.0,0.0,35.024353,-85.139246,0,2023,4,5,22,2
1944 Northpoint Blvd,Northpoint Blvd,0,0,15.0,1,1,0,0.0,0.0,35.137205,-85.243167,4,2023,4,7,12,4
402 Laverne Dr,Nelson Rd,0,1,15.0,0,1,0,0.0,1.0,35.054227,-85.311035,1,2023,4,9,20,6
7660 Goodwin Rd,1998 Igou Crossing Dr,0,0,15.0,0,1,0,1.0,1.0,35.05095,-85.13302,4,2023,4,10,8,0
2100 Garfield St,N Willow St,0,0,25.0,0,1,0,0.0,0.0,35.040667,-85.268778,4,2023,4,23,12,6
1300 E 3rd St,N Highland Park Ave,0,1,35.0,0,1,0,0.0,0.0,35.043072,-85.279331,4,2023,5,10,9,2
400 N Market St,Parking lot,0,0,,0,1,0,0.0,0.0,35.065196,-85.308341,4,2023,5,12,18,4
7625 Standifer Gap Rd,Walker Rd,0,0,45.0,0,1,0,0.0,0.0,35.02965,-85.148708,2,2023,5,15,21,0
300-398 Mccallie Ave,Houston St,0,0,30.0,0,1,0,0.0,0.0,35.04763,-85.30644,4,2023,5,20,18,5
1600 E 23rd St,S Holly St,0,1,,0,1,0,0.0,0.0,35.020674,-85.288894,4,2023,5,23,12,1
5518 Brainerd Rd,Spring Creek Rd,0,1,40.0,0,1,0,0.0,1.0,35.009528,-85.218556,0,2023,5,24,21,2
3200 Clio Ave,E 32nd St,0,1,30.0,0,1,0,0.0,0.0,35.007748,-85.292197,3,2023,5,25,5,3
865 E 3rd St,Collins St,0,1,30.0,0,1,0,0.0,0.0,35.049753,-85.295057,4,2023,6,2,15,4
6925 Lee Hwy,Park Drive,0,0,20.0,0,1,0,0.0,0.0,35.04384,-85.164693,4,2023,6,2,17,4
,4th Ave,1,0,55.0,0,1,0,0.0,1.0,35.014461,-85.273661,0,2023,6,4,0,6
6101 Lee Hwy,Lee Hwy,0,0,15.0,0,1,0,0.0,0.0,35.030545,-85.189874,4,2023,6,4,18,6
5764 Highway 153,Parking Lot,0,1,15.0,0,1,0,0.0,0.0,35.152975,-85.24562,4,2023,6,6,12,1
5500 Highway 153,Gadd Rd,0,1,25.0,0,1,0,0.0,0.0,35.142401,-85.248276,4,2023,6,7,14,2
4266 Bonny Oaks Dr,S. Access Rd.,0,1,45.0,0,1,0,,,35.080507,-85.214627,0,2023,6,24,21,5
E Main St,S Holtzclaw Ave,0,1,35.0,0,1,0,0.0,0.0,35.028961,-85.288147,3,2023,6,30,6,4
1512 Market Street,East 16th Street,0,0,35.0,0,1,0,0.0,0.0,35.0354593,-85.307463,4,2023,6,30,8,4
7655 E Brainerd Rd,Mackey Branch,0,0,15.0,0,1,0,0.0,0.0,35.011978,-85.156288,4,2023,7,6,18,3
727 E 11th St,Peeples St,1,1,30.0,0,1,0,,,35.040477,-85.299892,4,2023,7,8,11,5
5900 Hwy 58,Congress Ln,0,1,45.0,0,1,0,0.0,0.0,35.0812493,-85.263202,1,2023,7,8,21,5
1966 Northpoint Blvd,1966 Northpoint Blvd,0,1,15.0,0,1,0,0.0,0.0,35.13596,-85.242122,4,2023,7,11,9,1
101 Glenwood Dr,McCallie Ave,0,1,35.0,0,1,0,0.0,0.0,35.032474,-85.263942,4,2023,7,15,6,5
3100 Dodds Ave,East 31st St,0,1,35.0,0,1,0,0.0,1.0,35.005707,-85.278981,4,2023,7,16,13,6
1635 Chestnut St,W Main Street,0,1,,1,1,0,0.0,0.0,35.037013,-85.314404,4,2023,7,22,9,5
1804 Gunbarrel Rd,Crane Rd,0,0,15.0,0,1,0,0.0,0.0,35.023728,-85.158508,4,2023,7,22,16,5
1920 Northpoint Blvd,Northpoint Blvd,0,0,30.0,0,1,0,0.0,0.0,35.138731,-85.245469,4,2023,7,27,10,3
5600 Brainerd Rd,Brainerd Rd,1,1,40.0,0,1,0,0.0,0.0,35.006571,-85.213298,0,2023,7,30,21,6
490 Greenway View Dr,Brainerd Rd,0,1,15.0,0,1,0,0.0,0.0,35.008702,-85.205208,4,2023,8,14,13,0
7000 Hwy 153,Hwy 27 offramp,0,1,45.0,0,1,0,0.0,0.0,35.185302,-85.246471,4,2023,8,19,11,5
727 E 11th St,Peeples Street,0,1,30.0,0,1,0,0.0,0.0,35.040477,-85.299892,4,2023,8,26,13,5
4700 Midland Pike,N Parkdale Ave,0,1,45.0,0,1,0,0.0,0.0,35.02737,-85.224889,4,2023,9,1,12,4
1700 Gunbarrel Rd,Crane Rd,0,1,35.0,0,1,0,0.0,0.0,35.021618,-85.160209,4,2023,9,5,10,1
1300 Central Ave,E 13th St,1,1,55.0,0,1,0,0.0,0.0,35.033943,-85.295302,2,2023,9,8,6,4
311 Broad St,W 3rd St,0,1,30.0,0,1,0,0.0,0.0,35.012954,-85.228277,0,2023,3,4,20,5
